sorting;case_id;activity;resource;TimeStart;TimeEnd;Cost
1;0;S2: Notify mayors;Prefect;10/01/1955 00:00;10/01/1955 01:00;10,00 €
2;0;S3: Alert population;Mayor;10/01/1955 01:30;10/01/1955 04:30;50,00 €
3;0;S1: Second Roll Call;Prefect;10/01/1955 05:00;10/01/1955 05:30;10,00 €
4;0;S5: Stop Traffic;DDT 41;10/01/1955 06:00;10/01/1955 12:00;6 000,00 €
5;0;S6: Detour setting;DDT 41;10/01/1955 12:30;10/01/1955 15:30;4 000,00 €
6;0;S7: Put population in a safe place;SDIS 41;10/01/1955 16:00;11/01/1955 16:00;10 000,00 €
7;0;S8: Accomadation Plan ;Prefect;11/01/1955 16:30;13/01/1955 18:30;2 500,00 €
8;0;S11: NOVI Plan;Prefect;13/01/1955 19:00;17/01/1955 19:00;3 000,00 €
9;0;S12: Food Resupplying;Mayor;17/01/1955 19:30;20/01/1955 19:30;5 000,00 €
10;0;S13: Psychological care;CUMP Blois;20/01/1955 20:00;24/01/1955 20:00;4 500,00 €
11;0;S14: SecureBuilding;Ville Blois;24/01/1955 20:30;25/01/1955 20:30;3 000,00 €
12;0;S15: ManagingPollution;DREAL;25/01/1955 21:00;28/01/1955 21:00;5 000,00 €
13;0;S16: MonitoringHealth;ARS;28/01/1955 21:30;29/01/1955 05:30;10 000,00 €
14;0;S17: RecoveringNetworks;AGGLOPOLYS;29/01/1955 06:00;29/01/1955 12:00;1 000,00 €
15;0;S18: CleaningRepairing;ARS;29/01/1955 12:30;01/02/1955 12:30;3 000,00 €
16;0;S19 : AdminsitrativeSupport;Mayor;01/02/1955 13:00;04/02/1955 07:40;1 200,00 €
17;1;S2: Notify mayors;Prefect;04/02/1955 08:10;04/02/1955 09:10;10,00 €
18;1;S3: Alert population;Mayor;04/02/1955 09:40;04/02/1955 12:40;50,00 €
19;1;S1: Second Roll Call;Prefect;04/02/1955 13:10;04/02/1955 13:40;10,00 €
20;1;S5: Stop Traffic;DDT 41;04/02/1955 14:10;04/02/1955 20:10;6 000,00 €
21;1;S6: Detour setting;DDT 41;04/02/1955 20:40;04/02/1955 23:40;4 000,00 €
22;1;S7: Put population in a safe place;SDIS 41;05/02/1955 00:10;06/02/1955 00:10;10 000,00 €
23;1;S11: NOVI Plan;Prefect;06/02/1955 00:40;10/02/1955 00:40;3 000,00 €
24;1;S8: Accomadation Plan ;Prefect;10/02/1955 01:10;12/02/1955 03:10;2 500,00 €
25;1;S12: Food Resupplying;Mayor;12/02/1955 03:40;15/02/1955 03:40;5 000,00 €
26;1;S13: Psychological care;CUMP Blois;15/02/1955 04:10;19/02/1955 04:10;4 500,00 €
27;1;S15: ManagingPollution;DREAL;19/02/1955 04:40;22/02/1955 04:40;5 000,00 €
28;1;S14: SecureBuilding;Ville Blois;22/02/1955 05:10;23/02/1955 05:10;3 000,00 €
29;1;S16: MonitoringHealth;ARS;23/02/1955 05:40;23/02/1955 13:40;10 000,00 €
30;1;S17: RecoveringNetworks;AGGLOPOLYS;23/02/1955 14:10;23/02/1955 20:10;1 000,00 €
31;1;S18: CleaningRepairing;ARS;23/02/1955 20:40;26/02/1955 20:40;3 000,00 €
32;1;S19 : AdminsitrativeSupport;Mayor;26/02/1955 21:10;01/03/1955 15:50;1 200,00 €
33;2;S2: Notify mayors;Prefect;01/03/1955 16:20;01/03/1955 17:20;10,00 €
34;2;S1: Second Roll Call;Prefect;01/03/1955 17:50;01/03/1955 18:20;10,00 €
35;2;S3: Alert population;Mayor;01/03/1955 18:50;01/03/1955 21:50;50,00 €
36;2;S5: Stop Traffic;DDT 41;01/03/1955 22:20;02/03/1955 04:20;6 000,00 €
37;2;S6: Detour setting;DDT 41;02/03/1955 04:50;02/03/1955 07:50;4 000,00 €
